station,time,number
คลองเตย,jun_17,74233
คลองเตย,jul_17,70292
คลองเตย,aug_17,78977
คลองเตย,sep_17,75271
คลองเตย,oct_17,67466
คลองเตย,nov_17,75993
คลองเตย,dec_17,69331
ลุมพินี,jan_17,348201
ลุมพินี,feb_17,329321
ลุมพินี,mar_17,379223
ลุมพินี,apr_17,290454
ลุมพินี,may_17,556312
ลุมพินี,jun_17,361466
ลุมพินี,jul_17,333586
ลุมพินี,aug_17,374945
ลุมพินี,sep_17,355790
ลุมพินี,oct_17,311605
ลุมพินี,nov_17,366143
ลุมพินี,dec_17,313324
สีลม,jan_17,653559
สีลม,feb_17,619227
สีลม,mar_17,701959
สีลม,apr_17,584165
สีลม,may_17,967648
สีลม,jun_17,657801
สีลม,jul_17,620683
สีลม,aug_17,699040
สีลม,sep_17,671964
สีลม,oct_17,602609
สีลม,nov_17,674461
สีลม,dec_17,594151
สามย่าน,jan_17,313410
สามย่าน,feb_17,307130
สามย่าน,mar_17,368727
สามย่าน,apr_17,282818
สามย่าน,may_17,451870
สามย่าน,jun_17,307426
สามย่าน,jul_17,303250
สามย่าน,aug_17,349117
สามย่าน,sep_17,381100
สามย่าน,oct_17,322072
สามย่าน,nov_17,347470
สามย่าน,dec_17,271622
หัวลำโพง,jan_17,484775
หัวลำโพง,feb_17,452491
หัวลำโพง,mar_17,473740
หัวลำโพง,apr_17,409203
หัวลำโพง,may_17,580946
หัวลำโพง,jun_17,424202
หัวลำโพง,jul_17,436779
หัวลำโพง,aug_17,471327
หัวลำโพง,sep_17,443477
หัวลำโพง,oct_17,450850
หัวลำโพง,nov_17,485565
หัวลำโพง,dec_17,458129
